RFC status,Topic 1,Topic 2,RFC,Title,Obsoleted by,
Informational,DNS Root,,7108,A Summary of Various Mechanisms Deployed at L-Root for the Identification of Anycast Nodes,
Informational,Namespace,,7085,Top-Level Domains That Are Already Dotless,
Informational,IPv6 Application,,7051,Analysis of Solution Proposals for Hosts to Learn NAT64 Prefix,
Proposed Standard,IPv6 Application,,7050,Discovery of the IPv6 Prefix Used for IPv6 Address Synthesis,
Informational,New RRs/Codes,Other Applications,7043,Resource Records for EUI-48 and EUI-64 Addresses in the DNS,
Proposed Standard,DNSSEC - Algorithms/Keys,,6975,Signaling Cryptographic Algorithm Understanding in DNS Security Extensions (DNSSEC),
Informational,Other Applications,Guidelines/Recommendations,6950,Architectural Considerations on Application Features in the DNS,
Proposed Standard,DNSSEC - Algorithms/Keys,,6944,Applicability Statement: DNS Security (DNSSEC) DNSKEY Algorithm Implementation Status,8624
Informational,IDNA/Globalization,Namespace,6927,Variants in Second-Level Names Registered in Top-Level Domains,
Informational,IDNA/Globalization,Guidelines/Recommendations,6912,Principles for Unicode Code Point Inclusion in Labels in the DNS,
Best Current Practice,Clarification/Terminology,,6895,Domain Name System (DNS) IANA Considerations,
Internet Standard,EDNS & Extensions,,6891,Extension Mechanisms for DNS (EDNS(0)),
Proposed Standard,PKI Application,New RRs/Codes,6844,DNS Certification Authority Authorization (CAA) Resource Record,8659
Informational,DNSSEC - General Operation,,6841,A Framework for DNSSEC Policies and DNSSEC Practice Statements,
Proposed Standard,DNSSEC - Problem Statement,Clarification/Terminology,6840,Clarifications and Implementation Notes for DNS Security (DNSSEC),
Historic,Service Discovery/mDNS,,6804,Supporting Multicast DNS Queries,
Informational,DNSSEC - General Operation,,6781,"DNSSEC Operational Practices, Version 2",
Proposed Standard,Service Discovery/mDNS,,6763,DNS-Based Service Discovery,
Proposed Standard,Service Discovery/mDNS,,6762,Multicast DNS,
Proposed Standard,Namespace,,6761,Special-Use Domain Names ,
Experimental,Other Applications,New RRs/Codes,6742,DNS Resource Records for the Identifier-Locator Network Protocol (ILNP),
Proposed Standard,Servicing,,6731,Improved Recursive DNS Server Selection for Multi-Interfaced Nodes,
Proposed Standard,DNSSEC - Algorithms/Keys,,6725,DNS Security (DNSSEC) DNSKEY Algorithm IANA Registry Updates,
Proposed Standard,PKI Application,New RRs/Codes,6698,The DNS-Based Authentication of Named Entities (DANE) Transport Layer Security (TLS) Protocol: TLSA,
Informational,Email Application,,6686,Resolution of the Sender Policy Framework (SPF) and Sender ID Experiments,
Proposed Standard,New RRs/Codes,,6672,DNAME Redirection in the DNS,
Proposed Standard,Email Application,,6652,Sender Policy Framework (SPF) Authentication Failure Reporting Using the Abuse Reporting Format,
Proposed Standard,Email Application,,6651,Extensions to DomainKeys Identified Mail (DKIM) for Failure Reporting,
Proposed Standard,SRV/SVCB Functionalities,Other Applications,6641,Using DNS SRV to Specify a Global File Namespace with NFS Version 4,
Proposed Standard,DNSSEC - Algorithms/Keys,,6605,Elliptic Curve Digital Signature Algorithm (DSA) for DNSSEC,
Proposed Standard,Clarification/Terminology,,6604,xNAME RCODE and Status Bits Clarification,
Proposed Standard,Other Applications,,6594,"Use of the SHA-256 Algorithm with RSA, Digital Signature Algorithm (DSA), and Elliptic Curve DSA (ECDSA) in SSHFP Resource Records",
Informational,IPv6 Application,,6589,Considerations for Transitioning Content to IPv6,
Informational,Statement of Retirement,,6563,Moving A6 to Historic Status,
Experimental,Email Application,,6541,DomainKeys Identified Mail (DKIM) Authorized Third-Party Signatures,
Informational,Filtering,Guidelines/Recommendations,6471,Overview of Best Email DNS-Based List (DNSBL) Operational Practices,
Proposed Standard,IDNA/Globalization,,6452,The Unicode Code Points and Internationalized Domain Names for Applications (IDNA) - Unicode 6.0,
Informational,PKI Application,,6394,Use Cases and Requirements for DNS-Based Authentication of Named Entities (DANE),
Best Current Practice,Email Application,,6377,DomainKeys Identified Mail (DKIM) and Mailing Lists,
Internet Standard,Email Application,,6376,DomainKeys Identified Mail (DKIM) Signatures,
Informational,Reverse DNS,,6305,I'm Being Attacked by PRISONER.IANA.ORG!,
Informational,Reverse DNS,,6304,AS112 Nameserver Operations,7534
Best Current Practice,Servicing,,6303,Locally Served DNS Zones,
Best Current Practice,Clarification/Terminology,,6195,Domain Name System (DNS) IANA Considerations,6895
Proposed Standard,SRV/SVCB Functionalities,Email Application,6186,Use of SRV Records for Locating Email Submission/Access Services,
Informational,Guidelines/Recommendations,Servicing,6168,Requirements for Management of Name Servers for the DNS,
Proposed Standard,IPv6 Application,,6147,DNS64: DNS Extensions for Network Address Translation from IPv6 Clients to IPv4 Servers,
